name,url,country
Huffington Post España,https://www.huffingtonpost.es/,Spain
El Mundo,https://www.elmundo.es/,Spain
El Confidencial,https://www.elconfidencial.com/,Spain
20 Minutos,https://www.20minutos.es/,Spain
Hipertextual,https://hipertextual.com/,Spain
Motorpasion,https://www.motorpasion.com/,Spain
Fucsia,https://www.fucsia.co/,Colombia
Soho,https://www.soho.co/,Colombia
El País,https://www.elpais.com/,Uruguay
El Observador,https://www.elobservador.com/,Uruguay
La República,https://www.republica.com/,Uruguay
El Salvador,https://www.elsalvador.com/,El Salvador
La Prensa Gráfica,https://www.laprensagrafica.com/,El Salvador
ContraPunto,https://www.contrapunto.com.sv/,El Salvador
ABC Color,https://www.abc.com.py/,Paraguay
La Nación,https://www.lanacion.com.py/,Paraguay
Última Hora,https://www.ultimahora.com/,Paraguay
El Comercio,https://www.elcomercio.com/,Ecuador
El Universo,https://www.eluniverso.com/,Ecuador
El Telégrafo,https://www.eltelegrafo.com.ec/,Ecuador
El Nuevo Diario,https://www.elnuevodiario.com.do/,República Dominicana
Listín Diario,https://www.listindiario.com/,República Dominicana
Diario Libre,https://www.diariolibre.com/,República Dominicana
El Nuevo Herald,https://www.elnuevoherald.com/,Estados Unidos
La Opinión,https://laopinion.com/,Estados Unidos
El Diario NY,https://eldiariony.com/,Estados Unidos
Noticiero Digital,https://www.noticierodigital.com/,Venezuela
La Patilla,https://www.lapatilla.com/,Venezuela
El Nacional,https://www.elnacional.com/,Venezuela

