name,feed_url
ABC,https://www.abc.es/rss/feeds/abc_portada.xml
Antena 3 Noticias,https://www.antena3.com/noticias/rss/4013050.xml
Cuatro,https://www.cuatro.com/rss.xml
Diario de Almería,https://www.diariodealmeria.es/rss/
Diario de Cádiz,https://www.diariodecadiz.es/rss/
Diario de Córdoba,https://www.diariocordoba.com/rss/
Diario de Ferrol,https://www.diariodeferrol.com/feed/all
Diario de Girona,https://www.diaridegirona.cat/rss/
Diario de Ibiza,https://www.diariodeibiza.es/rss/
Diario de Jerez,https://www.diariodejerez.es/rss/
Diario de León,https://www.diariodeleon.es/rss
Diario de Mallorca,https://www.diariodemallorca.es/rss/
Diario de Navarra,https://www.diariodenavarra.es/rss/contenidos.xml
Diario de Noticias de Álava,https://www.noticiasdealava.eus/rss/
Diario de Noticias de Navarra,https://www.noticiasdenavarra.com/rss/
Diario de Noticias,https://www.diariodenavarra.es/rss/contenidos.xml
Diario de Pontevedra,https://www.diariodepontevedra.es/rss
Diario de Sevilla,https://www.diariodesevilla.es/rss/
Diario de Soria,https://heraldodiariodesoria.elmundo.es/rss
Diario de Teruel,https://www.diariodeteruel.es/rss
Diario de Valladolid,https://diariodevalladolid.elmundo.es/rss
Diario de Zamora,https://www.diariodeleon.es/rss
El Confidencial Digital,https://www.elconfidencialdigital.com/rss
El Correo Gallego,https://www.elcorreogallego.es/rss/
El Día de Córdoba,https://www.eldiadecordoba.es/rss/
El Día.es,https://www.eldia.es/rss/
El Día,https://www.eldia.es/rss/
El Diario,https://www.eldiario.es/rss/
El Digital de Asturias,https://www.eldigitaldeasturias.com/noticias/feed/
El Economista,https://www.eleconomista.es/rss/rss-flash-del-mercado.php
El Español,https://www.elespanol.com/rss/
El Faro de Vigo,https://www.farodevigo.es/rss/
El Independiente,https://www.elindependiente.com/feed/
El Mundo Deportivo,https://www.mundodeportivo.com/feed/rss/home/
El Mundo Today,https://www.elmundotoday.com/feed/
El Mundo,https://e00-elmundo.uecdn.es/rss/portada.xml
El Nacional,https://www.elnacional.cat/uploads/feeds/feed_ca.xml
El Periódico de Aragón,https://www.elperiodicodearagon.com/rss/
El Periódico de Catalunya,https://www.elperiodico.com/es/rss/ultimas-noticias/rss.xml
El Periódico Extremadura,https://www.elperiodicoextremadura.com/rss/
El Periódico,https://www.elperiodico.com/es/rss/ultimas-noticias/rss.xml
El Plural,https://www.elplural.com/uploads/feeds/feed_elplural_es.xml
El Progreso,https://www.elprogreso.es/rss
El Punt Avui,https://www.elpuntavui.cat/barcelona.feed?type=rss
El Referente,https://elreferente.es/feed
Eldiario.es,https://www.eldiario.es/rss/
Eldiario,https://www.eldiario.es/rss/
Elperiodicoextremadura,https://www.elperiodicoextremadura.com/rss/
Elprogreso,https://www.elprogreso.es/rss
Elreferente,https://elreferente.es/feed
Emprendedores,https://www.emprendedores.es/feed/
Enfemenino,https://www.enfemenino.com/feed
Euskalnews,https://euskalnews.com/feed/
Eventosfera,https://www.eventosfera.com/feed/
Expansion,https://e00-expansion.uecdn.es/rss/portada.xml
Fabio,https://www.fabio.com.ar/rss.php
Fisiocrem,https://www.fisiocrem.com/feed/
Fotolog,https://www.fotolog.com/feed/
Foxnews,https://moxie.foxnews.com/google-publisher/latest.xml
France,https://www.france.fr/fr/feed-news
Futbolenmexico,https://futbolenmexico.com/feed/
Futurism,https://futurism.com/feed
Gawker,https://www.gawker.com/rss
Gizmodo,https://es.gizmodo.com/rss
Grandesmedios,https://grandesmedios.com/feed/
Guide,https://www.cnet.com/rss/news/
Handelsblatt,https://www.handelsblatt.com/contentexport/feed/top-themen/
Hardware,https://www.kubus.com/feed/
Hola,https://www.hola.com/rss.xml
Hollywood,https://www.hollywood.com/feed
Iam,https://www.iam.com/feeds/posts/default?alt=rss
Ign,https://es.ign.com/feed.xml
Indiewire,https://www.indiewire.com/feed/rss/
In,https://www.news18.com/rss/entertainment.xml
La Nueva España,https://www.lne.es/rss/
La Opinión de A Coruña,https://www.laopinioncoruna.es/rss/
La Opinión de Las Palmas,https://www.epe.es/es/rss/rss_portada.xml
La Opinión de Málaga,https://www.laopiniondemalaga.es/rss/
La Opinión de Murcia,https://www.laopiniondemurcia.es/rss/
La Opinión de Tenerife,https://www.epe.es/es/rss/rss_portada.xml
La Opinión de Zamora,https://www.laopiniondezamora.es/rss/
La Provincia,https://www.laprovincia.es/rss/
La Razón,https://www.larazon.es/?outputType=xml
La Sexta,https://www.lasexta.com/rss/348128.xml
La Vanguardia,https://www.lavanguardia.com/rss/home.xml
Levante-EMV,https://www.levante-emv.com/rss/
Maldita.es,https://maldita.es/feed
Marca,https://e00-marca.uecdn.es/rss/portada.xml
OKDiario,https://okdiario.com/feed
Periodista Digital,http://feeds.feedburner.com/PDPortada
Sport,https://www.sport.es/es/rss/last-news/news.xml
Telecinco,https://www.telecinco.es/rss.xml
Última Hora,https://www.ultimahora.es/feed.rss
