name,url,country,type
La Voz,https://lavoztx.com/,United States (Spanish),newspaper
Mundo Hispánico,https://mundohispanico.com/,United States (Spanish),newspaper
La Jornada,https://www.lajornadanet.com/,United States (Spanish),newspaper
El Mensajero,http://elmensajero.com/,United States (Spanish),newspaper
Noticias Ya,https://noticiasya.com/,United States (Spanish),newspaper
El Latino San Diego,http://ellatinoonline.com/,United States (Spanish),newspaper
Hola News,https://holanews.com/,United States (Spanish),newspaper
La Prensa,https://laprensafl.com/,United States (Spanish),newspaper
El Comercio de Colorado,https://elcomerciodecolorado.com/,United States (Spanish),newspaper
El Semanario,https://elsemanario.com/,United States (Spanish),newspaper
El Tiempo,https://www.eltiempolv.com/,United States (Spanish),newspaper
El Especialito,https://www.elespecialito.com/,United States (Spanish),newspaper
La Prensa Latina,https://laprensalatina.com/,United States (Spanish),newspaper
El Mundo Boston,https://elmundoboston.com/,United States (Spanish),newspaper
El Sentinel,https://www.orlandosentinel.com/elsentinel/,United States (Spanish),newspaper
La Opinión de la Bahía,http://eltecolote.org/,United States (Spanish),newspaper
Hoy Los Angeles,https://www.hoylosangeles.com/,United States (Spanish),newspaper
Diario Las Américas,https://www.diariolasamericas.com/,United States (Spanish),newspaper
La Prensa de Minnesota,http://www.laprensamn.com/,United States (Spanish),newspaper
Noticias del Mundo,https://www.noticiasdelmundo.com/,United States (Spanish),newspaper
