name,url,country,type
Televisión Española (TVE),https://www.rtve.es/,Spain,television
Antena 3,https://www.antena3.com/,Spain,television
La Sexta,https://www.lasexta.com/,Spain,television
Telecinco,https://www.telecinco.es/,Spain,television
Cuatro,https://www.cuatro.com/,Spain,television
TV Azteca,https://www.aztecauno.com/,Mexico,television
Televisa,https://www.televisa.com/,Mexico,television
Canal de las Estrellas,https://www.lasestrellas.tv/,Mexico,television
TVN,https://www.tvn.cl/,Chile,television
Mega,https://www.mega.cl/,Chile,television
Caracol Televisión,https://www.caracoltv.com/,Colombia,television
RCN Televisión,https://www.canalrcn.com/,Colombia,television
Telefé,https://www.telefe.com/,Argentina,television
Canal 13,https://www.13.cl/,Chile,television
América TV,https://www.americatv.com.pe/,Peru,television
Globo,https://redeglobo.globo.com/,Brazil,television
Telemundo,https://www.telemundo.com/,United States,television
Univision,https://www.univision.com/,United States,television
TVN,https://www.tvn-2.com/,Panama,television
Telesur,https://www.telesurtv.net/,Venezuela,television
TV Globo,https://redeglobo.globo.com/,Brazil,television
TV Record,https://recordtv.r7.com/,Brazil,television
TVN,https://www.tvn.cl/,Chile,television
Televisa,https://www.televisa.com/,Mexico,television
Canal de las Estrellas,https://www.lasestrellas.tv/,Mexico,television
Telemundo,https://www.telemundo.com/,United States,television
Univision,https://www.univision.com/,United States,television
Caracol Televisión,https://www.caracoltv.com/,Colombia,television
RCN Televisión,https://www.canalrcn.com/,Colombia,television
Telefé,https://www.telefe.com/,Argentina,television
TV Azteca,https://www.aztecauno.com/,Mexico,television
Televisión Española (TVE),https://www.rtve.es/,Spain,television
Antena 3,https://www.antena3.com/,Spain,television
La Sexta,https://www.lasexta.com/,Spain,television
Telecinco,https://www.telecinco.es/,Spain,television
Cuatro,https://www.cuatro.com/,Spain,television
TVN,https://www.tvn.cl/,Chile,television
Mega,https://www.mega.cl/,Chile,television
Caracol Televisión,https://www.caracoltv.com/,Colombia,television
RCN Televisión,https://www.canalrcn.com/,Colombia,television
Telefé,https://www.telefe.com/,Argentina,television
Canal 13,https://www.13.cl/,Chile,television
América TV,https://www.americatv.com.pe/,Peru,television
Globo,https://redeglobo.globo.com/,Brazil,television
Telemundo,https://www.telemundo.com/,United States,television
Univision,https://www.univision.com/,United States,television
TVN,https://www.tvn-2.com/,Panama,television
Telesur,https://www.telesurtv.net/,Venezuela,television
TV Globo,https://redeglobo.globo.com/,Brazil,television
TV Record,https://recordtv.r7.com/,Brazil,television
TVN,https://www.tvn-2.com/,Panama,television
Telesur,https://www.telesurtv.net/,Venezuela,television
TV Globo,https://redeglobo.globo.com/,Brazil,television
TV Record,https://recordtv.r7.com/,Brazil,television
Televisión Española (TVE),https://www.rtve.es/,Spain,television
Antena 3,https://www.antena3.com/,Spain,television
La Sexta,https://www.lasexta.com/,Spain,television
Telecinco,https://www.telecinco.es/,Spain,television
Cuatro,https://www.cuatro.com/,Spain,television
TV Azteca,https://www.aztecauno.com/,Mexico,television

